element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
K,18,0.353195,0.000012,0.35318486,0.00000003,,1.33e+14,,0.00000,(3510.46183),1s2,1S,0,1s.2p,1P*,1,,T6910,L10223
K,17,0.35360,0.00005,0.35354,0.00013,*,,,592.35,4099.3,1s2.3p,2P*,1/2,1s.2p.(1P*).3p,2P,"1/2,3/2",,,L2560c7
K,17,0.35360,0.00005,0.35363,0.00013,*,,,593.25,4099.3,1s2.3p,2P*,3/2,1s.2p.(1P*).3p,2P,"1/2,3/2",,,L2560c7
K,17,0.35418,0.00007,0.3542181,0.0000019,,,,[33.9082],(3534.130),1s2.2p,2P*,1/2,1s.2p2,2S,1/2,,,"L22456,L2560c164"
K,18,0.354595,0.000005,0.35459579,0.00000003,,4.91e+08,,0.00000,(3496.49385),1s2,1S,0,1s.2p,3P*,2,,T6910,L6608
K,17,0.35463,0.00007,0.3546269,0.0000019,,,,[37.9426],(3534.130),1s2.2p,2P*,3/2,1s.2p2,2S,1/2,,,"L22456,L2560c164"
K,17,0.35491,0.00007,0.3547620,0.0000016,13g*,,,0.0000,(3494.855),1s2.2s,2S,1/2,1s.(2S).2s.2p.(1P*),2P*,3/2,,,"L22456,L2560c164"
K,17,0.35491,0.00007,0.3548489,0.0000018,13g*,,,0.0000,(3494.000),1s2.2s,2S,1/2,1s.(2S).2s.2p.(1P*),2P*,1/2,,,"L22456,L2560c164"
K,18,0.354950,0.000005,0.35495312,0.00000003,,2.98e+12,,0.00000,(3492.97388),1s2,1S,0,1s.2p,3P*,1,,T6910,L6608
K,17,,,0.3558762,0.0000014,,,,[33.9082],(3517.822),1s2.2p,2P*,1/2,1s.2p2,2P,3/2,,,
K,17,0.35621,0.00011,0.3559147,0.0000015,g*,,,0.0000,(3483.537),1s2.2s,2S,1/2,1s.(2S).2s.2p.(3P*),2P*,3/2,,,"L22456,L2560c164"
K,17,0.35621,0.00011,0.3561335,0.0000015,g*,,,0.0000,(3481.397),1s2.2s,2S,1/2,1s.(2S).2s.2p.(3P*),2P*,1/2,,,"L22456,L2560c164"
K,17,0.35621,0.00011,0.3562888,0.0000014,*,,,[37.9426],(3517.822),1s2.2p,2P*,3/2,1s.2p2,2P,3/2,,,"L22456,L2560c164"
K,17,0.35621,0.00011,0.3562980,0.0000014,*,,,[33.9082],(3513.697),1s2.2p,2P*,1/2,1s.2p2,2P,1/2,,,"L22456,L2560c164"
K,17,0.35664,0.00007,0.3566320,0.0000017,,,,[33.9082],(3510.439),1s2.2p,2P*,1/2,1s.2p2,2D,3/2,,,"L22456,L2560c164"
K,17,,,0.3567116,0.0000014,,,,[37.9426],(3513.697),1s2.2p,2P*,3/2,1s.2p2,2P,1/2,,,
K,17,0.35702,0.00007,0.3570162,0.0000017,*,,,[37.9426],(3510.732),1s2.2p,2P*,3/2,1s.2p2,2D,5/2,,,"L22456,L2560c164"
K,17,0.35702,0.00007,0.3570463,0.0000017,*,,,[37.9426],(3510.439),1s2.2p,2P*,3/2,1s.2p2,2D,3/2,,,"L22456,L2560c164"
K,17,,,0.3581930,0.0000013,,,,[33.9082],(3495.288),1s2.2p,2P*,1/2,1s.2p2,4P,5/2,,,
K,17,,,0.3585299,0.0000015,,,,0.0000,(3458.128),1s2.2s,2S,1/2,1s.(2S).2s.2p.(3P*),4P*,5/2,,,
K,17,0.35887,0.00016,0.3583929,0.0000013,*,,,[33.9082],(3493.358),1s2.2p,2P*,1/2,1s.2p2,4P,3/2,,,"L22456,L2560c164"
K,17,0.35887,0.00016,0.3585809,0.0000013,*,,,[33.9082],(3491.544),1s2.2p,2P*,1/2,1s.2p2,4P,1/2,,,"L22456,L2560c164"
K,17,0.35887,0.00016,0.3586110,0.0000013,*,,,[37.9426],(3495.288),1s2.2p,2P*,3/2,1s.2p2,4P,5/2,,,"L22456,L2560c164"
K,17,0.35887,0.00016,0.3588107,0.0000015,g*,,,0.0000,(3455.421),1s2.2s,2S,1/2,1s.(2S).2s.2p.(3P*),4P*,3/2,,,"L22456,L2560c164"
K,17,0.35887,0.00016,0.3588113,0.0000013,*,,,[37.9426],(3493.358),1s2.2p,2P*,3/2,1s.2p2,4P,3/2,,,"L22456,L2560c164"
K,17,0.35887,0.00016,0.3589225,0.0000015,g*,,,0.0000,(3454.345),1s2.2s,2S,1/2,1s.(2S).2s.2p.(3P*),4P*,1/2,,,"L22456,L2560c164"
K,17,0.35887,0.00016,0.3589998,0.0000013,*,,,[37.9426],(3491.544),1s2.2p,2P*,3/2,1s.2p2,4P,1/2,,,"L22456,L2560c164"
K,17,,,0.363373,0.000003,,,,[33.9082],(3445.944),1s2.2p,2P*,1/2,1s.2s2,2S,1/2,,,
K,17,,,0.363803,0.000003,,,,[37.9426],(3445.944),1s2.2p,2P*,3/2,1s.2s2,2S,1/2,,,
K,19,,,1.09249297,0.00000005,,2.0155e+10,AA,(3698.69614),(4833.570254),2p,2P*,1/2,7s,2S,1/2,,T7771,
K,19,,,1.09268089,0.00000005,,2.3607e+11,AA,(3698.88679),(4833.565723),2s,2S,1/2,7p,2P*,1/2,,T7771,
K,19,,,1.09828603,0.00000005,,4.1782e+10,AA,(3704.68219),(4833.570254),2p,2P*,3/2,7s,2S,1/2,,T7771,
K,19,,,1.12862459,0.00000006,,3.2310e+10,AA,(3698.69614),(4797.238556),2p,2P*,1/2,6s,2S,1/2,,T7771,
K,19,,,1.12882787,0.00000006,,3.7572e+11,AA,(3698.88679),(4797.231373),2s,2S,1/2,6p,2P*,1/2,,T7771,
K,19,,,1.13480826,0.00000006,,6.6990e+10,AA,(3704.68219),(4797.238556),2p,2P*,3/2,6s,2S,1/2,,T7771,
K,19,,,1.19373393,0.00000006,,1.0396e+12,AA,(3698.69614),(4737.321208),2p,2P*,1/2,5d,2D,3/2,,T7771,
K,19,,,1.19395229,0.00000006,,6.4553e+11,AA,(3698.88679),(4737.32190),2s,2S,1/2,5p,2P*,3/2,,T7771,
K,19,,,1.19415913,0.00000008,,5.6674e+10,AA,(3698.69614),(4736.95139),2p,2P*,1/2,5s,2S,1/2,,T7771,
K,19,,,1.19439270,0.00000007,,6.5105e+11,AA,(3698.88679),(4736.93900),2s,2S,1/2,5p,2P*,1/2,,T7771,
K,19,,,1.20050657,0.00000006,,1.2296e+12,AA,(3704.68219),(4737.447869),2p,2P*,3/2,5d,2D,5/2,,T7771,
K,19,,,1.20065383,0.00000006,,2.0388e+11,AA,(3704.68219),(4737.321208),2p,2P*,3/2,5d,2D,3/2,,T7771,
