element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Nd,2,371.854,371.85196+,410*,,,0.3802292,3.7135164,4f4.(5I).6s,4I,11/2,,*,9/2,,,L3475
Nd,2,371.854,371.85853+,410*,1.71e+06,B+,0.1822698,3.5154982,4f4.(5I).6s,6I,11/2,,*,13/2,,T7685,L3475
Nd,2,372.135,372.13386+,410,,,1.1714256,4.5021880,4f3.(4I*).5d2.(3F),6M*,15/2,4f3.5d.6p,6L,13/2,,,L3475
Nd,2,372.242,372.24395+,220,,,1.7519035,5.0816808,4f3.5d.6s,4L*,15/2,4f3.5d.6p,,15/2,,,L3475
Nd,2,372.350,372.35029+,780,,,0.3205562,3.6493825,4f4.(5I).6s,6I,13/2,4f4.(5I).6p,6H*,13/2,,,L3475
Nd,2,372.487,372.48674+,410,4.8e+06,B+,0.0636448,3.3912518,4f4.(5I).6s,6I,9/2,,*,11/2,,T7685,L3475
Nd,2,372.690,372.68948+,250,,,1.2511692,4.5769660,4f3.(4I*).5d (5K*).6s,6K*,9/2,,,9/2,,,L3475
Nd,2,372.813,372.81256+,710,1.26e+07,B+,0.1822698,3.5069687,4f4.(5I).6s,6I,11/2,4f4.(5I).6p,6H*,11/2,,T7685,L3475
Nd,2,373.058,373.05769+,470*,,,0.3802292,3.7027435,4f4.(5I).6s,4I,11/2,,*,9/2,,,L3475
Nd,2,373.058,373.05769+,470*,,,1.8595045,5.1820188,4f3.5d.6s,2I*,11/2,4f3.5d.6p,,9/2,,,L3475
Nd,2,373.278,373.27506+,270,,,1.7248211,5.0454006,4f3.(4I*).5d (5K*).6s,6L*,17/2,4f3.5d.6p,,19/2,,,L3475
Nd,2,373.554,373.55354+,1000D*,,,0.5594781,3.8775822,4f4.(5I).6s,4I,13/2,,*,11/2,,,L3475
Nd,2,373.560,373.56966+,1000D*,,,2.0538609,5.3718218,4f3.5d2,*,9/2,4f3.5d.6p,,7/2,,,L3475
Nd,2,373.710,373.70777+,440,7.8e+06,B+,0.3205562,3.6372910,4f4.(5I).6s,6I,13/2,,*,11/2,,T7685,L3475
Nd,2,373.806,373.80552+,1000,3.08e+07,B+,0.5594781,3.8753456,4f4.(5I).6s,4I,13/2,,*,13/2,,T7685,L3475
Nd,2,374.142,374.14240+,270,9.9e+06,B+,0.0636448,3.3765268,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,L3475
Nd,2,374.985,374.99077+,200*,,,0.1822698,3.4876569,4f4.(5I).6s,6I,11/2,,*,11/2,,,L3475
Nd,2,374.985,374.98459+,200*,,,1.7679378,5.0733795,4f4.(5I).5d,,13/2,,*,15/2,,,L3475
Nd,2,375.031,375.03009+,320,,,1.5201213,4.8251619,4f3.(4I*).5d (5K*).6s,6L*,15/2,4f3.5d.6p,6L,17/2,,,L3475
